fen,result
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1",0
"rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1",0
"rnbqkbnr/pppppp1p/6p1/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2",0
"rnbqkbnr/pppppp1p/6p1/8/8/2N3P1/PPPPPP1P/R1BQKBNR b KQkq - 1 2",0
"rnbqkbnr/ppppp2p/6p1/5p2/8/2N3P1/PPPPPP1P/R1BQKBNR w KQkq f6 0 3",0
"rnbqkbnr/ppppp2p/6p1/5p2/8/2N2NP1/PPPPPP1P/R1BQKB1R b KQkq - 1 3",0
"rnbqkbnr/pp1pp2p/6p1/2p2p2/8/2N2NP1/PPPPPP1P/R1BQKB1R w KQkq c6 0 4",0
"rnbqkbnr/pp1pp2p/6p1/2p2p2/8/P1N2NP1/1PPPPP1P/R1BQKB1R b KQkq - 0 4",0
"r1bqkbnr/pp1pp2p/2n3p1/2p2p2/8/P1N2NP1/1PPPPP1P/R1BQKB1R w KQkq - 1 5",0
"r1bqkbnr/pp1pp2p/2n3p1/2p2p2/3P4/P1N2NP1/1PP1PP1P/R1BQKB1R b KQkq d3 0 5",0
"r1bqkbnr/pp1pp2p/2n3p1/5p2/3p4/P1N2NP1/1PP1PP1P/R1BQKB1R w KQkq - 0 6",0
"r1bqkbnr/pp1pp2p/2n3p1/5p2/3Q4/P1N2NP1/1PP1PP1P/R1B1KB1R b KQkq - 0 6",0
"r1bqkbnr/pp1pp2p/6p1/5p2/3n4/P1N2NP1/1PP1PP1P/R1B1KB1R w KQkq - 0 7",0
"r1bqkbnr/pp1pp2p/6p1/5p2/3N4/P1N3P1/1PP1PP1P/R1B1KB1R b KQkq - 0 7",0
"r1bqkb1r/pp1pp2p/5np1/5p2/3N4/P1N3P1/1PP1PP1P/R1B1KB1R w KQkq - 1 8",0
"r1bqkb1r/pp1pp2p/5np1/5N2/8/P1N3P1/1PP1PP1P/R1B1KB1R b KQkq - 0 8",0
"r1bqkb1r/pp1pp3/5np1/5N1p/8/P1N3P1/1PP1PP1P/R1B1KB1R w KQkq h6 0 9",0
"r1bqkb1r/pp1pN3/5np1/7p/8/P1N3P1/1PP1PP1P/R1B1KB1R b KQkq - 0 9",0
"r1bq1b1r/pp1pk3/5np1/7p/8/P1N3P1/1PP1PP1P/R1B1KB1R w KQ - 0 10",0
"r1bq1b1r/pp1pk3/5np1/7p/1P6/P1N3P1/2P1PP1P/R1B1KB1R b KQ b3 0 10",0
